,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.dns,timings.wait,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
57,,2019-10-09T19:00:38.140+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,621,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,-1,-1,108,-1,2,-1,172.217.21.228,,110,value,
58,,2019-10-09T19:00:38.146+03:00,GET,https://www.gstatic.com/recaptcha/api2/logo_48.png,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/png,,,459,2228,,,0,-1,-1,103,-1,1,-1,172.217.22.67,,105,,
59,,2019-10-09T19:00:38.299+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6LfCUVsUAAAAAAGtvwnA5Mw4LQaaN0iA_6bF5jXe&cb=9gpqnwgdfzdu,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,-1,-1,114,-1,1,-1,172.217.21.228,,116,value,
60,,2019-10-09T19:00:38.303+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,94031,,,0,-1,-1,92,-1,43,-1,172.217.22.67,,136,,
61,,2019-10-09T19:00:38.836+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,-1,-1,102,-1,35,-1,172.217.22.67,,138,,
62,,2019-10-09T19:00:39.019+03:00,POST,https://www.google.com/recaptcha/api2/reload?k=6LfCUVsUAAAAAAGtvwnA5Mw4LQaaN0iA_6bF5jXe,HTTP/1.1,631,4269,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,805,10170,,,1,-1,-1,162,-1,15,-1,172.217.21.228,,179,value,
63,,2019-10-09T19:00:39.210+03:00,GET,https://www.gstatic.com/recaptcha/api2/refresh_2x.png,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,image/png,,,457,600,,,0,-1,-1,93,-1,0,-1,172.217.22.67,,94,,
64,,2019-10-09T19:00:39.211+03:00,GET,https://www.gstatic.com/recaptcha/api2/audio_2x.png,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,image/png,,,458,530,,,0,119,0,93,0,0,148,172.217.22.67,,242,,
65,,2019-10-09T19:00:39.244+03:00,GET,https://www.google.com/recaptcha/api2/payload?p=06AOLTBLQR-DcRmBNLmrPPWCGOabaiUhpyFbVA3LeMowM2lb9EojlaG6und2cS8PQAv7dlBh8pOmNpJ48wzqcj9wmQP5z27nrB1fAYguX01mdCFIMXHAcxhBr03i9eiH_T4URgbgOza_z-RzPjX4gsDGA-WRwiqCqf5C4Z-WOuLknZG839liPhXYk&k=6LfCUVsUAAAAAAGtvwnA5Mw4LQaaN0iA_6bF5jXe,HTTP/1.1,930,0,,200,OK,HTTP/1.1,0,image/jpeg,,,417,26135,,,0,-1,-1,110,-1,42,-1,172.217.21.228,,153,value,
66,,2019-10-09T19:00:39.311+03:00,GET,https://www.gstatic.com/recaptcha/api2/info_2x.png,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/png,,,458,665,,,0,-1,-1,88,-1,0,-1,172.217.22.67,,89,,
67,,2019-10-09T19:00:39.311+03:00,GET,https://www.gstatic.com/recaptcha/api2/image_2x.png,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,image/png,,,458,600,,,0,-1,-1,88,-1,0,-1,172.217.22.67,,89,,
68,,2019-10-09T19:00:39.362+03:00,GET,https://www.gstatic.com/recaptcha/api2/undo_2x.png,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/png,,,457,581,,,0,117,0,90,0,0,144,172.217.22.67,,236,,
69,,2019-10-09T19:00:41.490+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,0,3236,47,123,0,17,3268,172.217.22.3,,3457,,
70,,2019-10-09T19:00:41.491+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,631,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15552,,,0,2183,0,97,0,52,2215,172.217.22.3,,2366,,
71,,2019-10-09T19:00:41.492+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmYUtfBBc4.woff2,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15340,,,0,3232,43,91,0,34,3270,172.217.22.3,,3440,,
72,,2019-10-09T19:00:41.638+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,526,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,172.217.22.3,,0,,No response received
73,,2019-10-09T19:00:41.640+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,522,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,172.217.22.3,,0,,No response received
