,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
75,,2019-10-09T16:11:20.374+03:00,GET,https://www.codecademy.com/webpack/71.792f7aba6c2035b6eb71.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,1509,,,0,-1,-1,0,139,-1,-1,104.20.26.250,,140,
76,,2019-10-09T16:11:20.374+03:00,GET,https://www.codecademy.com/webpack/79.9735b91d6a4745b13099.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,3994,,,0,-1,-1,0,173,-1,-1,104.20.26.250,,174,
77,,2019-10-09T16:11:20.439+03:00,GET,https://www.codecademy.com/webpack/92.e9388489c8a9dd85fdd4.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,1895,,,0,-1,-1,0,97,-1,-1,104.20.26.250,,98,
78,,2019-10-09T16:11:20.452+03:00,GET,https://www.codecademy.com/webpack/111.80640e0a620c2fc0445a.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,5311,,,2,-1,-1,0,91,-1,-1,104.20.26.250,,93,
79,,2019-10-09T16:11:20.525+03:00,GET,https://www.codecademy.com/webpack/158.789b3601b822bc324098.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,329,,,0,-1,-1,0,92,-1,-1,104.20.26.250,,93,
80,,2019-10-09T16:11:20.525+03:00,GET,https://www.codecademy.com/webpack/190.73b2355b7c894c5bc6e2.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,974,,,0,-1,-1,0,96,-1,-1,104.20.26.250,,97,
81,,2019-10-09T16:11:20.542+03:00,GET,https://www.codecademy.com/webpack/corporate-scenes-Landing.83d1156becc8554fe2e5.chunk.js,HTTP/1.1,581,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,6807,,,1,-1,-1,0,103,-1,-1,104.20.26.250,,105,
82,,2019-10-09T16:11:20.558+03:00,GET,https://www.codecademy.com/webpack/renderer/17c47851f2b9d7a7062206c5fd12ea42.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,287,,,0,-1,-1,0,105,-1,-1,104.20.26.250,,107,
83,,2019-10-09T16:11:20.558+03:00,GET,https://www.codecademy.com/webpack/renderer/1ca54a931e939a92042749dc8e8036d7.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,664,5220,,,6,-1,-1,0,100,-1,-1,104.20.26.250,,107,
84,,2019-10-09T16:11:20.629+03:00,GET,https://www.codecademy.com/webpack/renderer/0f483471fc5de0fc55d12a9cc626c020.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,664,4224,,,0,-1,-1,0,98,-1,-1,104.20.26.250,,99,
85,,2019-10-09T16:11:20.629+03:00,GET,https://www.codecademy.com/webpack/renderer/82298a46582c30688e1100c115c872e2.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,664,4438,,,0,-1,-1,0,97,-1,-1,104.20.26.250,,98,
