,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
33,,2019-10-11T14:06:08.837+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflE8GS0-.css,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/css,,,560,41451,,,-1,0,-1,88,-1,55,-1,216.58.208.46,,144,
34,,2019-10-11T14:06:08.964+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl7dFGHt/www-embed-player.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,39029,,,0,1,120,87,0,80,141,216.58.208.46,,310,
35,,2019-10-11T14:06:08.969+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/base.js,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393529,,,0,1,118,92,0,311,146,216.58.208.46,,551,
36,,2019-10-11T14:06:09.461+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,512,5323,,,-1,0,-1,91,-1,2,-1,216.58.205.228,,94,
37,,2019-10-11T14:06:09.532+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflMzJYzW/en_US/remote.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,30003,,,-1,0,-1,84,-1,13,-1,216.58.208.46,,98,
38,,2019-10-11T14:06:09.823+03:00,GET,https://www.youtube.com/generate_204?GaPX6A,HTTP/1.1,560,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,-1,92,-1,0,-1,216.58.208.46,,93,value
39,,2019-10-11T14:06:11.752+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,34,0,2225,99,0,0,2253,216.58.206.6,,2388,
40,,2019-10-11T14:06:11.827+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,497,0,,200,OK,HTTP/1.1,0,font/woff2,,,517,15552,,,0,0,2194,102,0,21,2212,172.217.16.131,,2338,
41,,2019-10-11T14:06:11.830+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15344,,,0,0,2196,103,0,29,2221,172.217.16.131,,2354,
42,,2019-10-11T14:06:12.600+03:00,GET,https://yt3.ggpht.com/-sfbG8ukMi74/AAAAAAAAAAI/AAAAAAAAAAA/VBusKjuvOHY/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,541,0,,200,OK,HTTP/1.1,0,image/jpeg,,,572,2154,,,30,0,2959,105,0,1,2989,172.217.22.97,,3127,
43,,2019-10-11T14:06:13.056+03:00,GET,https://i.ytimg.com/vi/eMdLqaeWP-k/maxresdefault.jpg,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,image/jpeg,,,455,111026,,,45,0,3399,107,0,160,3427,172.217.22.54,,3741,
