,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
61,,2019-10-11T14:41:57.282+03:00,GET,https://www.codecademy.com/webpack/206.53ccb9eba54daddcdc25.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,222,,,0,-1,-1,0,-1,107,-1,104.20.26.250,,108,
62,,2019-10-11T14:41:57.284+03:00,GET,https://www.codecademy.com/webpack/349.55d1ac6474d53504b643.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,400,,,0,-1,-1,0,-1,107,-1,104.20.26.250,,108,
63,,2019-10-11T14:41:57.286+03:00,GET,https://www.codecademy.com/webpack/0.ca0a640802cc326fae67.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,695,,,0,-1,-1,0,-1,113,-1,104.20.26.250,,114,
64,,2019-10-11T14:41:57.338+03:00,GET,https://www.codecademy.com/webpack/1.6d5c009c56efa136192f.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1541,,,0,-1,-1,0,-1,118,-1,104.20.26.250,,119,
65,,2019-10-11T14:41:57.347+03:00,GET,https://www.codecademy.com/webpack/2.88077818c53ae58d224d.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1769,,,0,-1,-1,0,-1,98,-1,104.20.26.250,,99,
66,,2019-10-11T14:41:57.396+03:00,GET,https://www.codecademy.com/webpack/5.ce6520ce4e4ffa999aed.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1129,,,0,-1,-1,0,-1,103,-1,104.20.26.250,,104,
67,,2019-10-11T14:41:57.397+03:00,GET,https://www.codecademy.com/webpack/6.4d03f66ca52972afce5e.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,962,,,0,-1,-1,0,-1,93,-1,104.20.26.250,,94,
68,,2019-10-11T14:41:57.404+03:00,GET,https://www.codecademy.com/webpack/8.675b103e714a7929afa1.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,578,,,0,-1,-1,0,-1,99,-1,104.20.26.250,,100,
69,,2019-10-11T14:41:57.450+03:00,GET,https://www.codecademy.com/webpack/18.18d1f019cd73cbe546f7.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,250,,,0,-1,-1,0,-1,94,-1,104.20.26.250,,95,
70,,2019-10-11T14:41:57.461+03:00,GET,https://www.codecademy.com/webpack/22.f6d862cad611555a26da.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1680,,,0,-1,-1,0,-1,103,-1,104.20.26.250,,104,
71,,2019-10-11T14:41:57.495+03:00,GET,https://www.codecademy.com/webpack/23.01f049deb3213fb76cff.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,4401,,,0,-1,-1,0,-1,116,-1,104.20.26.250,,117,
72,,2019-10-11T14:41:57.509+03:00,GET,https://www.codecademy.com/webpack/38.684fb127f25e22e03800.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,151,,,0,-1,-1,0,-1,105,-1,104.20.26.250,,106,
73,,2019-10-11T14:41:57.511+03:00,GET,https://www.codecademy.com/webpack/44.ca94feeed596e2d895eb.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,963,,,0,-1,-1,0,-1,96,-1,104.20.26.250,,97,
