,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-11T14:16:10.843+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,102,2226,2262,10,0,216.58.205.228,,2376,,
39,facebook,2019-10-11T14:16:10.887+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,170,4884,4907,1,0,157.240.1.35,,5081,,
40,facebook,2019-10-11T14:16:11.221+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,0,104,-1,-1,212,-1,157.240.1.23,,318,value,
41,facebook,2019-10-11T14:16:11.223+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,0,91,-1,-1,42,-1,157.240.1.23,,134,value,
42,facebook,2019-10-11T14:16:11.223+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,-1,0,91,-1,-1,0,-1,157.240.1.23,,92,value,
43,facebook,2019-10-11T14:16:11.224+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,-1,0,81,-1,-1,158,-1,157.240.1.23,,240,value,
44,facebook,2019-10-11T14:16:13.964+03:00,GET,https://cx.atdmt.com/?f=AYw_EHTuLSRvUnh4opDJx_sj7tTNO0-FQdv8n_s2-ZH6w39nJXydXLduWPINvg66os42yOg6xbufWgzd5g-MviVn&c=1957348233&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,52,0,210,6718,6740,0,0,31.13.92.2,,7004,value,
45,facebook,2019-10-11T14:16:18.721+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4648,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,182,-1,-1,0,-1,157.240.1.35,,184,,
46,facebook,2019-10-11T14:16:18.767+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,0,99,7652,7679,168,0,172.217.22.35,,7949,,
47,facebook,2019-10-11T14:16:19.098+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=9d4vvxtseuf4,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9931,,,-1,0,130,-1,-1,44,-1,216.58.205.228,,175,value,
48,facebook,2019-10-11T14:16:19.263+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,-1,1,83,-1,-1,72,-1,172.217.22.35,,156,,
49,facebook,2019-10-11T14:16:19.411+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,1,100,118,144,143,0,172.217.22.35,,389,,
50,facebook,2019-10-11T14:16:19.690+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,0,103,-1,-1,4,-1,216.58.205.228,,108,,
51,facebook,2019-10-11T14:16:19.801+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=fgoj5a60209n,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,-1,0,102,-1,-1,3,-1,216.58.205.228,,106,value,
52,facebook,2019-10-11T14:16:19.844+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,100,113,151,0,0,216.58.205.228,,253,value,
53,facebook,2019-10-11T14:16:19.964+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=x8okzz%3A0r5b26%3A4ppluh&__hsi=6746507171633520892-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570793607,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,157.240.1.35,,0,value,No response received
54,facebook,2019-10-11T14:16:19.974+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,172.217.22.35,,0,,No response received
