,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-11T13:08:24.338+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,0,89,-1,-1,-1,-1,59,157.240.1.23,,149,value,
39,facebook,2019-10-11T13:08:24.367+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,0,117,-1,-1,-1,-1,15,157.240.1.23,,133,value,
40,facebook,2019-10-11T13:08:27.441+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3096,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,123,-1,-1,-1,-1,0,157.240.1.35,,124,,
41,facebook,2019-10-11T13:08:27.521+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,105,3102,27,0,3154,1,216.58.205.228,,3290,,
42,facebook,2019-10-11T13:08:27.761+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,0,95,-1,-1,-1,-1,174,157.240.1.23,,271,value,
43,facebook,2019-10-11T13:08:27.762+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,0,89,-1,-1,-1,-1,6,157.240.1.23,,97,value,
44,facebook,2019-10-11T13:08:27.764+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,0,87,-1,-1,-1,-1,0,157.240.1.23,,89,value,
45,facebook,2019-10-11T13:08:27.764+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,0,89,-1,-1,-1,-1,88,157.240.1.23,,179,value,
46,facebook,2019-10-11T13:08:32.173+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,107,4478,29,0,4497,157,172.217.22.35,,4792,,
47,facebook,2019-10-11T13:08:32.472+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=5sgiijfz30hl,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9530,,,0,119,-1,-1,-1,-1,19,216.58.205.228,,140,value,
48,facebook,2019-10-11T13:08:32.611+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,1,87,-1,-1,-1,-1,48,172.217.22.35,,138,,
49,facebook,2019-10-11T13:08:32.754+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,84,-1,-1,-1,-1,33,172.217.22.35,,119,,
50,facebook,2019-10-11T13:08:32.910+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,0,97,-1,-1,-1,-1,4,216.58.205.228,,102,,
51,facebook,2019-10-11T13:08:33.017+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=a7oqfmdjxgwt,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,91,-1,-1,-1,-1,2,216.58.205.228,,94,value,
52,facebook,2019-10-11T13:08:33.072+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,95,118,0,0,158,1,216.58.205.228,,256,value,
53,facebook,2019-10-11T13:08:33.200+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=hxd4tu%3A3xtec1%3Akplvvx&__hsi=6746489703945297192-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570789540,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,157.240.1.35,,0,value,No response received
54,facebook,2019-10-11T13:08:33.209+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,172.217.22.35,,0,,No response received
