,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
43,facebook,2019-10-11T19:20:32.623+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,101,0,-1,-1,68,-1,-1,31.13.92.14,,169,value,
44,facebook,2019-10-11T19:20:33.232+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4907,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,159,0,-1,-1,0,-1,-1,31.13.92.36,,160,,
45,facebook,2019-10-11T19:20:34.465+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,92,0,1,1900,134,0,1935,172.217.22.35,,2164,,
46,facebook,2019-10-11T19:20:34.716+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=fo5n4ax9v0m3,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9332,,,105,0,-1,-1,17,-1,-1,172.217.18.4,,122,value,
47,facebook,2019-10-11T19:20:34.859+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,96,0,-1,-1,47,-1,-1,172.217.22.35,,144,,
48,facebook,2019-10-11T19:20:35.008+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,87,0,-1,-1,60,-1,-1,172.217.22.35,,148,,
49,facebook,2019-10-11T19:20:35.184+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,91,0,-1,-1,6,-1,-1,172.217.18.4,,98,,
50,facebook,2019-10-11T19:20:35.284+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=o9bfnl7oyeeu,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,94,0,-1,-1,4,-1,-1,172.217.18.4,,99,value,
51,facebook,2019-10-11T19:20:35.332+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,93,0,0,110,1,0,145,172.217.18.4,,240,value,
52,facebook,2019-10-11T19:20:35.446+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001284080&__s=vaegdb%3Avkerd3%3Akrr411&__hsi=6746585596981291361-0&__spin_r=1001284080&__spin_b=trunk&__spin_t=1570811867,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,0,-1,-1,31.13.92.36,,0,value,No response received
53,facebook,2019-10-11T19:20:35.455+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,0,-1,-1,172.217.22.35,,0,,No response received
