,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.dns,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-12T08:13:17.939+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,5612,0,0,132,30,5574,0,157.240.1.35,,5776,,
39,facebook,2019-10-12T08:13:18.825+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2585,1,0,101,0,2530,0,172.217.21.228,,2690,,
40,facebook,2019-10-12T08:13:19.002+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17237,,,-1,39,-1,106,-1,-1,0,157.240.1.23,,146,value,
41,facebook,2019-10-12T08:13:19.002+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y-/l/he_IL/W-woTzJGqSB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348418,,,-1,190,-1,115,-1,-1,0,157.240.1.23,,306,value,
42,facebook,2019-10-12T08:13:19.002+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,-1,1,-1,96,-1,-1,0,157.240.1.23,,98,value,
43,facebook,2019-10-12T08:13:19.003+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38551,,,-1,112,-1,97,-1,-1,0,157.240.1.23,,210,value,
44,facebook,2019-10-12T08:13:21.506+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3104,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,130,-1,-1,1,157.240.1.35,,132,,
45,facebook,2019-10-12T08:13:23.124+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,4185,134,0,101,0,4167,0,172.217.22.67,,4423,,
46,facebook,2019-10-12T08:13:23.385+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=qynd5xb4md9i,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9581,,,-1,23,-1,125,-1,-1,1,172.217.21.228,,150,value,
47,facebook,2019-10-12T08:13:23.559+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,61,-1,99,-1,-1,0,172.217.22.67,,161,,
48,facebook,2019-10-12T08:13:23.717+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,154,138,0,97,0,122,0,172.217.22.67,,391,,
49,facebook,2019-10-12T08:13:23.979+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,4,-1,89,-1,-1,0,172.217.21.228,,95,,
50,facebook,2019-10-12T08:13:24.076+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=3kr9erwsydpk,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,2,-1,94,-1,-1,0,172.217.21.228,,96,value,
51,facebook,2019-10-12T08:13:24.125+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,142,0,0,101,0,109,0,172.217.21.228,,245,value,
52,facebook,2019-10-12T08:13:24.226+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001287745&__s=wgboxg%3Atrwv4b%3Anc93nv&__hsi=6746784746802794634-0&__spin_r=1001287745&__spin_b=trunk&__spin_t=1570858235,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,-1,0,157.240.1.35,,0,value,No response received
53,facebook,2019-10-12T08:13:24.247+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,-1,0,172.217.22.67,,0,,No response received
