,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.ssl,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
39,facebook,2019-10-08T16:42:22.731+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,96,-1,0,-1,107,-1,31.13.92.14,,204,value,
40,facebook,2019-10-08T16:42:22.896+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,109,-1,0,-1,0,-1,31.13.92.14,,110,value,
41,facebook,2019-10-08T16:42:22.950+03:00,GET,https://cx.atdmt.com/?f=AYxDmiELOUIGWKs6LzN_zjQ6F6-o7gFL5PzO_28Ov7Znqq-BJNxgTA__-02BVu4TsY0LKUXFcR95rHPTSoTPYOXB&c=374770470&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,30,122,3226,0,3253,0,0,31.13.92.2,,3408,value,
42,facebook,2019-10-08T16:42:25.195+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,118,2449,0,2466,1,0,172.217.18.4,,2588,,
43,facebook,2019-10-08T16:42:25.428+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,106,-1,0,-1,20,-1,31.13.92.14,,127,value,
44,facebook,2019-10-08T16:42:25.429+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,104,-1,0,-1,3,-1,31.13.92.14,,108,value,
45,facebook,2019-10-08T16:42:25.429+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,123,-1,0,-1,31,-1,31.13.92.14,,154,value,
46,facebook,2019-10-08T16:42:25.431+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,121,-1,0,-1,96,-1,31.13.92.14,,218,value,
47,facebook,2019-10-08T16:42:25.431+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,0,94,115,0,143,193,0,31.13.92.14,,432,value,
48,facebook,2019-10-08T16:42:25.435+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,0,119,123,0,158,163,0,31.13.92.14,,442,value,
