,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
34,facebook,2019-09-28T18:47:04.283+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,122,-1,0,-1,1,-1,-1,157.240.1.23,,124,value,
35,facebook,2019-09-28T18:47:04.464+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,94,-1,0,-1,0,-1,-1,157.240.1.23,,96,,
36,facebook,2019-09-28T18:47:05.472+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,107,-1,0,-1,6,-1,-1,157.240.1.23,,114,value,
37,facebook,2019-09-28T18:47:05.557+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,147,0,0,3189,1,3281,0,157.240.1.35,,3431,,
38,facebook,2019-09-28T18:47:08.082+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43101,,,517,0,0,3812,244,3945,0,157.240.1.35,,4709,value,
39,facebook,2019-09-28T18:47:08.618+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,131,-1,0,-1,0,-1,-1,157.240.1.23,,132,value,
40,facebook,2019-09-28T18:47:08.620+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,128,-1,1,-1,31,-1,-1,157.240.1.23,,161,value,
41,facebook,2019-09-28T18:47:08.729+03:00,GET,https://cx.atdmt.com/?f=AYxIiyqoUUDiURqwvqntTnuyLzhgr3xej2bNfGVoB422wLo-u0eHtqLt_gdZ4wl6zCRqsnqlcuz_zHr17gZQ_fwe&c=638258303&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,133,17,0,4295,0,4395,0,157.240.1.6,,4548,value,
42,facebook,2019-09-28T18:47:08.756+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,113,-1,1,-1,30,-1,-1,157.240.1.23,,145,value,
43,facebook,2019-09-28T18:47:08.784+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,95,-1,0,-1,120,-1,-1,157.240.1.23,,216,value,
44,facebook,2019-09-28T18:47:10.418+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,80,0,0,1732,3,1798,0,172.217.22.36,,1883,,
45,facebook,2019-09-28T18:47:10.665+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,90,-1,0,-1,501,-1,-1,157.240.1.23,,592,value,
46,facebook,2019-09-28T18:47:10.665+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,107,-1,1,-1,101,-1,-1,157.240.1.23,,211,value,
47,facebook,2019-09-28T18:47:10.666+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,114,0,0,123,100,260,0,157.240.1.23,,476,value,
48,facebook,2019-09-28T18:47:10.666+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,127,0,0,128,2,265,0,157.240.1.23,,396,value,
