,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
40,facebook,2019-10-11T13:20:55.833+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,95,1,124,0,158,153,0,157.240.1.23,,409,value,
41,facebook,2019-10-11T13:20:55.835+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,91,0,-1,-1,-1,12,-1,157.240.1.23,,104,value,
42,facebook,2019-10-11T13:20:57.082+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,120,0,1204,1,1248,3,0,216.58.205.228,,1374,,
43,facebook,2019-10-11T13:20:57.306+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,107,0,-1,-1,-1,176,-1,157.240.1.23,,285,value,
44,facebook,2019-10-11T13:20:57.306+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,106,0,-1,-1,-1,18,-1,157.240.1.23,,125,value,
45,facebook,2019-10-11T13:20:57.306+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,104,0,-1,-1,-1,0,-1,157.240.1.23,,105,value,
46,facebook,2019-10-11T13:20:57.307+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,132,0,-1,-1,-1,10,-1,157.240.1.23,,143,value,
47,facebook,2019-10-11T13:21:00.712+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,111,0,3451,0,3480,129,0,172.217.22.35,,3723,,
48,facebook,2019-10-11T13:21:00.982+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=3g2eci8xbifn,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9430,,,119,0,-1,-1,-1,14,-1,216.58.205.228,,134,value,
49,facebook,2019-10-11T13:21:01.138+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,94,1,-1,-1,-1,60,-1,172.217.22.35,,156,,
50,facebook,2019-10-11T13:21:01.289+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,81,0,111,0,146,159,0,172.217.22.35,,388,,
51,facebook,2019-10-11T13:21:01.456+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3072,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,168,0,-1,-1,-1,0,-1,157.240.1.35,,169,,
52,facebook,2019-10-11T13:21:01.557+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,96,0,-1,-1,-1,4,-1,216.58.205.228,,102,,
53,facebook,2019-10-11T13:21:01.662+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=dcxz2c4konpi,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,93,0,-1,-1,-1,2,-1,216.58.205.228,,96,value,
54,facebook,2019-10-11T13:21:01.709+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,93,0,110,0,149,1,0,216.58.205.228,,244,value,
55,facebook,2019-10-11T13:21:01.819+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwl8G0me220pe4U2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=83r7p5%3Ac2fxom%3Afph6ji&__hsi=6746492947554649606-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570790295,HTTP/1.1,828,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,157.240.1.35,,0,value,No response received
56,facebook,2019-10-11T13:21:01.831+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,172.217.22.35,,0,,No response received
