,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-11T18:54:48.393+03:00,GET,https://cx.atdmt.com/?f=AYxGtiKkJp3AhZno5-w-uoOaU_LUwX1kq1DnGrEPUTkCp2SX0VmAjosvqm9_pVpO_2iief5co1e2g9wiktpf8nOc&c=1264787053&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,25,1,2595,145,0,2627,0,31.13.92.2,,2800,value,
39,facebook,2019-10-11T18:54:48.561+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,0,1647,110,0,1675,2,172.217.18.4,,1789,,
40,facebook,2019-10-11T18:54:48.793+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,0,-1,104,-1,-1,146,31.13.92.14,,250,value,
41,facebook,2019-10-11T18:54:48.793+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,-1,0,-1,100,-1,-1,33,31.13.92.14,,133,value,
42,facebook,2019-10-11T18:54:48.793+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,-1,0,-1,100,-1,-1,15,31.13.92.14,,116,value,
43,facebook,2019-10-11T18:54:48.794+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,0,-1,93,-1,-1,19,31.13.92.14,,112,value,
44,facebook,2019-10-11T18:54:51.872+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,1,0,3146,102,0,3177,171,172.217.22.67,,3453,,
45,facebook,2019-10-11T18:54:52.182+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=zmzhyq66uzk,HTTP/1.1,721,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9506,,,-1,0,-1,115,-1,-1,15,172.217.18.4,,132,value,
46,facebook,2019-10-11T18:54:52.336+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,1,-1,84,-1,-1,54,172.217.22.67,,140,,
47,facebook,2019-10-11T18:54:52.474+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,0,111,105,0,136,157,172.217.22.67,,400,,
48,facebook,2019-10-11T18:54:52.769+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,0,-1,90,-1,-1,5,172.217.18.4,,96,,
49,facebook,2019-10-11T18:54:52.868+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,0,-1,90,-1,-1,0,172.217.18.4,,91,value,
50,facebook,2019-10-11T18:54:52.918+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=cq5wzlmegwig,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,0,0,115,103,0,146,1,172.217.18.4,,251,value,
51,facebook,2019-10-11T18:54:52.974+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,-1,0,-1,101,-1,-1,53,172.217.22.67,,155,,
52,facebook,2019-10-11T18:54:53.098+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001284080&__s=cwyava%3Anafoef%3A725psn&__hsi=6746578982788661875-0&__spin_r=1001284080&__spin_b=trunk&__spin_t=1570810327,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,-1,0,31.13.92.36,,0,value,No response received
