,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-11T13:06:49.330+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,0,0,0,116,158,95,132,157.240.1.23,,371,value,
39,facebook,2019-10-11T13:06:49.330+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,0,-1,-1,9,-1,88,-1,157.240.1.23,,98,value,
40,facebook,2019-10-11T13:06:50.284+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,0,1,954,117,920,216.58.205.228,,1074,,
41,facebook,2019-10-11T13:06:50.532+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,0,-1,-1,172,-1,118,-1,157.240.1.23,,291,value,
42,facebook,2019-10-11T13:06:50.535+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,0,-1,-1,25,-1,99,-1,157.240.1.23,,125,value,
43,facebook,2019-10-11T13:06:50.536+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,0,-1,-1,0,-1,92,-1,157.240.1.23,,94,value,
44,facebook,2019-10-11T13:06:50.537+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,0,-1,-1,15,-1,100,-1,157.240.1.23,,116,value,
45,facebook,2019-10-11T13:06:52.814+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,0,0,141,2396,96,2366,172.217.22.35,,2635,,
46,facebook,2019-10-11T13:06:53.081+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=19qtjg8a3bar,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9441,,,0,-1,-1,8,-1,130,-1,216.58.205.228,,140,value,
47,facebook,2019-10-11T13:06:53.233+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,0,-1,-1,43,-1,95,-1,172.217.22.35,,139,,
48,facebook,2019-10-11T13:06:53.378+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,-1,-1,51,-1,91,-1,172.217.22.35,,143,,
49,facebook,2019-10-11T13:06:53.518+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3072,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,0,-1,102,-1,157.240.1.35,,103,,
50,facebook,2019-10-11T13:06:53.559+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,0,-1,-1,2,-1,91,-1,216.58.205.228,,95,,
51,facebook,2019-10-11T13:06:53.657+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,-1,-1,0,-1,90,-1,216.58.205.228,,91,value,
52,facebook,2019-10-11T13:06:53.710+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=nbb9qscc47t1,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,1,0,0,2,145,104,116,216.58.205.228,,253,value,
53,facebook,2019-10-11T13:06:53.769+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,-1,-1,36,-1,88,-1,172.217.22.35,,125,,
54,facebook,2019-10-11T13:06:53.896+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=pc7rb8%3A04h5hx%3Ave5bz0&__hsi=6746489304677226260-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570789447,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,157.240.1.35,,0,value,No response received
