,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
30,facebook,2019-10-12T14:57:49.470+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,0,-1,96,-1,31.13.92.14,,97,,
31,facebook,2019-10-12T14:57:52.245+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43671,,,142,2718,0,0,2688,240,31,31.13.92.36,,3133,value,
32,facebook,2019-10-12T14:57:52.511+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,58,-1,-1,0,-1,96,-1,31.13.92.14,,155,value,
33,facebook,2019-10-12T14:57:52.512+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,34,-1,-1,0,-1,100,-1,31.13.92.14,,134,value,
34,facebook,2019-10-12T14:57:52.514+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,67,-1,-1,0,-1,100,-1,31.13.92.14,,168,value,
35,facebook,2019-10-12T14:57:54.939+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,2424,0,0,2399,130,0,172.217.18.4,,2558,,
36,facebook,2019-10-12T14:57:54.970+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,-1,0,-1,102,-1,31.13.92.14,,103,value,
37,facebook,2019-10-12T14:57:54.985+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16069,,,37,-1,-1,0,-1,95,-1,31.13.92.14,,134,value,
38,facebook,2019-10-12T14:57:55.017+03:00,GET,https://cx.atdmt.com/?f=AYx1Lbv3e3C50kcHefFz5pRDrKrpK2yANsBFylxeilOgiKsNf361XzSO-v4nBwNHnc79vyPcGa6BOvKezOQOqtzv&c=1556669029&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,0,5483,0,0,5455,139,34,31.13.92.2,,5658,value,
39,facebook,2019-10-12T14:57:55.032+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,6656,0,0,6632,133,0,31.13.92.36,,6791,,
40,facebook,2019-10-12T14:57:55.151+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,8,-1,-1,0,-1,115,-1,31.13.92.14,,124,value,
