,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
49,facebook,2019-10-08T18:22:24.533+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,27,-1,-1,-1,94,0,-1,31.13.92.14,,122,value,
50,facebook,2019-10-08T18:22:25.318+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,138,1038,0,1011,96,0,1,172.217.22.35,,1274,,
51,facebook,2019-10-08T18:22:25.577+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=ky4v6n19ic07,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9680,,,13,-1,-1,-1,119,0,-1,172.217.18.4,,133,value,
52,facebook,2019-10-08T18:22:25.727+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,64,-1,-1,-1,94,0,-1,172.217.22.35,,160,,
53,facebook,2019-10-08T18:22:25.879+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,153,148,0,114,89,0,0,172.217.22.35,,393,,
54,facebook,2019-10-08T18:22:26.148+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,6,-1,-1,-1,90,0,-1,172.217.18.4,,97,,
55,facebook,2019-10-08T18:22:26.250+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=ckaxlc3ats3w,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,1,-1,-1,-1,97,0,-1,172.217.18.4,,99,value,
56,facebook,2019-10-08T18:22:26.297+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,144,0,111,102,0,0,172.217.18.4,,249,value,
57,facebook,2019-10-08T18:22:26.401+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=yjqv5x%3Av4w835%3Amzmevr&__hsi=6745457343796415633-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570549175,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,0,-1,31.13.92.36,,0,value,No response received
58,facebook,2019-10-08T18:22:26.419+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,0,-1,172.217.22.35,,0,,No response received
