,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
30,facebook,2019-10-12T14:40:51.991+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,98,0,-1,-1,-1,0,-1,31.13.92.14,,99,,
31,facebook,2019-10-12T14:40:52.729+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,113,0,-1,-1,-1,47,-1,31.13.92.14,,161,value,
32,facebook,2019-10-12T14:40:52.776+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,141,2,2090,46,0,0,2120,31.13.92.36,,2312,,
33,facebook,2019-10-12T14:40:57.133+03:00,GET,https://cx.atdmt.com/?f=AYwBlECRKUJXPp4IAdUoevz-az6uKN2K1I9FExwt-Cilb-otPYP0x_UEY-TIyjaNYnEuFx-3mjhRZwd7wV0dLQH7&c=1016213540&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,138,0,5066,29,0,0,5085,31.13.92.2,,5255,value,
34,facebook,2019-10-12T14:40:58.055+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43674,,,202,0,6082,30,0,140,6102,31.13.92.36,,6477,value,
35,facebook,2019-10-12T14:40:58.277+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,123,0,-1,-1,-1,0,-1,31.13.92.14,,124,value,
36,facebook,2019-10-12T14:40:58.278+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,123,1,146,0,0,120,171,31.13.92.14,,416,value,
37,facebook,2019-10-12T14:40:58.278+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,105,1,-1,-1,-1,30,-1,31.13.92.14,,138,value,
38,facebook,2019-10-12T14:40:58.280+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,110,0,-1,-1,-1,14,-1,31.13.92.14,,125,value,
39,facebook,2019-10-12T14:41:00.022+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3095,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,143,0,-1,-1,-1,0,-1,31.13.92.36,,144,,
