,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
43,facebook,2019-10-12T15:48:05.902+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,-1,68,0,94,-1,-1,31.13.92.14,,163,value,
44,facebook,2019-10-12T15:48:05.910+03:00,GET,https://cx.atdmt.com/?f=AYwnYzi19Ewip-KEZ9OEPjWdy8X1EMgK7WmsAhukbC5dXPRbe0OyGZYf11avgIfqHBkeuOnGKw_w6kM4jSNWdAR1&c=536689289&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,2202,0,0,0,123,2166,29,31.13.92.2,,2356,value,
45,facebook,2019-10-12T15:48:07.728+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1807,0,4,0,110,1777,36,172.217.18.4,,1959,,
46,facebook,2019-10-12T15:48:07.975+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,101,0,126,-1,-1,31.13.92.14,,228,value,
47,facebook,2019-10-12T15:48:07.975+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,1,0,102,-1,-1,31.13.92.14,,104,value,
48,facebook,2019-10-12T15:48:07.976+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,-1,-1,16,0,110,-1,-1,31.13.92.14,,127,value,
49,facebook,2019-10-12T15:48:07.977+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,-1,-1,156,0,120,-1,-1,31.13.92.14,,277,value,
50,facebook,2019-10-12T15:48:07.979+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,163,0,101,0,99,141,0,31.13.92.14,,365,value,
51,facebook,2019-10-12T15:48:07.979+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,173,0,3,0,109,142,0,31.13.92.14,,286,value,
52,facebook,2019-10-12T15:48:09.649+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,1780,0,136,0,100,1745,1,172.217.22.35,,2019,,
53,facebook,2019-10-12T15:48:09.921+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=tlz5pllcbtzy,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9449,,,-1,-1,26,0,121,-1,-1,172.217.18.4,,148,value,
54,facebook,2019-10-12T15:48:10.088+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,-1,68,0,92,-1,-1,172.217.22.35,,161,,
55,facebook,2019-10-12T15:48:10.242+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,154,0,154,0,85,123,0,172.217.22.35,,394,,
56,facebook,2019-10-12T15:48:10.512+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,-1,-1,3,0,99,-1,-1,172.217.18.4,,103,,
57,facebook,2019-10-12T15:48:10.616+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=68f9agrhqh3o,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,-1,-1,2,0,94,-1,-1,172.217.18.4,,97,value,
58,facebook,2019-10-12T15:48:10.671+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,156,0,1,0,99,117,0,172.217.18.4,,257,value,
59,facebook,2019-10-12T15:48:10.778+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001288592&__s=13o7du%3Ateopam%3Azaj38d&__hsi=6746901956468368838-0&__spin_r=1001288592&__spin_b=trunk&__spin_t=1570885525,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,value,No response received
60,facebook,2019-10-12T15:48:10.795+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,172.217.22.35,,0,,No response received
