,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.ssl,timings.wait,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
39,facebook,2019-10-08T16:04:14.376+03:00,GET,https://cx.atdmt.com/?f=AYw_d1l6Tf1Vg_8P-DajPxuGKQMlcr7xwUz7QRjGUqx4JUJ9o0gpkVlFqOynZHGOsMNq6L24YizEQm3U_zLdKfKp&c=26874122&v=1&l=2,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,1670,0,0,1647,147,30,0,31.13.92.2,,1849,value,
40,facebook,2019-10-08T16:04:14.569+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,19,-1,-1,105,-1,3,31.13.92.14,,128,value,
41,facebook,2019-10-08T16:04:14.619+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3136,0,0,3111,134,0,0,31.13.92.36,,3272,,
42,facebook,2019-10-08T16:04:17.345+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,3661,1,0,3607,96,0,0,172.217.18.4,,3761,,
43,facebook,2019-10-08T16:04:17.565+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,0,-1,-1,93,-1,0,31.13.92.14,,94,value,
44,facebook,2019-10-08T16:04:17.565+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,200,-1,-1,100,-1,0,31.13.92.14,,300,value,
45,facebook,2019-10-08T16:04:17.565+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,10,-1,-1,125,-1,0,31.13.92.14,,136,value,
46,facebook,2019-10-08T16:04:19.663+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,2170,157,0,2153,92,33,0,172.217.22.35,,2455,,
47,facebook,2019-10-08T16:04:19.952+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=wsx7kpbcw2w5,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9544,,,-1,21,-1,-1,109,-1,0,172.217.18.4,,131,value,
48,facebook,2019-10-08T16:04:20.124+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,193,-1,-1,89,-1,0,172.217.22.35,,283,,
49,facebook,2019-10-08T16:04:20.278+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,149,194,0,111,116,0,0,172.217.22.35,,460,,
50,facebook,2019-10-08T16:04:20.631+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,7,-1,-1,103,-1,0,172.217.18.4,,111,,
51,facebook,2019-10-08T16:04:20.725+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4853,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,-1,111,-1,1,31.13.92.36,,113,,
52,facebook,2019-10-08T16:04:20.744+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=w9uabn6t0zj,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,-1,0,-1,-1,97,-1,0,172.217.18.4,,99,value,
53,facebook,2019-10-08T16:04:20.798+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,163,0,0,118,106,0,0,172.217.18.4,,272,value,
54,facebook,2019-10-08T16:04:20.896+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=in85no%3Alburx3%3Apqekdb&__hsi=6745421765958717116-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570540891,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,0,-1,0,31.13.92.36,,0,value,No response received
