,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
47,facebook,2019-10-08T18:08:06.252+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,0,107,-1,-1,-1,2,-1,31.13.92.14,,110,value,
48,facebook,2019-10-08T18:08:06.333+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,131,5596,25,5623,0,0,31.13.92.36,,5782,,
49,facebook,2019-10-08T18:08:07.368+03:00,GET,https://cx.atdmt.com/?f=AYz7n6un5rdNAKUY5aGkE2X9SoRSP6_RF7FkuqfirW2STpi0ygmae0kVmnYCC4XKBSaFtP8-UwR_0mMhvsDRJVmW&c=545493352&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,141,5529,32,5553,0,0,31.13.92.2,,5728,value,
50,facebook,2019-10-08T18:08:09.271+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,100,3564,20,3589,163,0,172.217.22.35,,3875,,
51,facebook,2019-10-08T18:08:09.569+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=i9id5dwpxnds,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10590,,,0,113,-1,-1,-1,22,-1,172.217.18.4,,137,value,
52,facebook,2019-10-08T18:08:09.708+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,101,-1,-1,-1,66,-1,172.217.22.35,,168,,
53,facebook,2019-10-08T18:08:09.796+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2876,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,131,-1,-1,-1,1,-1,31.13.92.36,,133,,
54,facebook,2019-10-08T18:08:09.856+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,3,87,109,0,145,138,0,172.217.22.35,,373,,
55,facebook,2019-10-08T18:08:10.112+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,0,97,-1,-1,-1,5,-1,172.217.18.4,,103,,
56,facebook,2019-10-08T18:08:10.218+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=its5ig6q9cj4,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,95,-1,-1,-1,1,-1,172.217.18.4,,96,value,
57,facebook,2019-10-08T18:08:10.265+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,103,108,0,149,1,0,172.217.18.4,,255,value,
58,facebook,2019-10-08T18:08:10.376+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=hovkb8%3Ahkp61u%3Avh27wo&__hsi=6745453675590517649-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570548321,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,31.13.92.36,,0,value,No response received
59,facebook,2019-10-08T18:08:10.395+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,172.217.22.35,,0,,No response received
