,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.ssl,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
51,facebook,2019-10-08T19:58:44.447+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=ew9bfbqjy7ov,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9642,,,114,-1,-1,0,-1,16,-1,216.58.205.228,,131,value,
52,facebook,2019-10-08T19:58:44.600+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,90,-1,-1,0,-1,57,-1,172.217.22.35,,148,,
53,facebook,2019-10-08T19:58:44.750+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,88,0,116,0,148,160,0,172.217.22.35,,398,,
54,facebook,2019-10-08T19:58:45.011+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2873,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,162,-1,-1,1,-1,0,-1,157.240.1.35,,164,,
55,facebook,2019-10-08T19:58:45.032+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,95,-1,-1,0,-1,5,-1,216.58.205.228,,101,,
56,facebook,2019-10-08T19:58:45.135+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,90,-1,-1,0,-1,1,-1,216.58.205.228,,92,value,
57,facebook,2019-10-08T19:58:45.191+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=v1szprwjk9c4,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,98,0,115,0,156,1,0,216.58.205.228,,256,value,
58,facebook,2019-10-08T19:58:45.248+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,97,-1,-1,0,-1,65,-1,172.217.22.35,,163,,
59,facebook,2019-10-08T19:58:45.301+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,92,-1,-1,0,-1,43,-1,172.217.22.35,,136,,
60,facebook,2019-10-08T19:58:45.475+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267363&__s=fe8o84%3Adt1knu%3Aesbj7t&__hsi=6745482153152658772-0&__spin_r=1001267363&__spin_b=trunk&__spin_t=1570554951,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,157.240.1.35,,0,value,No response received
