,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
40,facebook,2019-10-08T16:06:26.520+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,171,237,0,0,0,105,134,31.13.92.14,,515,value,
41,facebook,2019-10-08T16:06:28.893+03:00,GET,https://cx.atdmt.com/?f=AYywDOTV06eEmgarxNavHyxaPn4waTX_4-ow-4ZVl21ST5IFa1-wXTZwgRbGrrMIrLASbT-DjtSBCTjQqWsehy1H&c=2017982107&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,5198,0,0,18,0,133,5163,31.13.92.2,,5351,value,
42,facebook,2019-10-08T16:06:29.846+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,3324,3,0,1,0,104,3289,172.217.18.4,,3434,,
43,facebook,2019-10-08T16:06:30.078+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,1,-1,-1,0,103,-1,31.13.92.14,,105,value,
44,facebook,2019-10-08T16:06:30.079+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,239,-1,-1,0,113,-1,31.13.92.14,,353,value,
45,facebook,2019-10-08T16:06:30.079+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,8,-1,-1,0,106,-1,31.13.92.14,,115,value,
46,facebook,2019-10-08T16:06:30.948+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,963,201,0,1,0,116,927,172.217.22.35,,1283,,
47,facebook,2019-10-08T16:06:31.293+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=9z0jf2pp5qw0,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9737,,,-1,23,-1,-1,0,123,-1,172.217.18.4,,147,value,
48,facebook,2019-10-08T16:06:31.441+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,67,-1,-1,0,89,-1,172.217.22.35,,157,,
49,facebook,2019-10-08T16:06:31.593+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,148,172,0,0,0,84,114,172.217.22.35,,406,,
50,facebook,2019-10-08T16:06:31.639+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2879,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,-1,0,124,-1,31.13.92.36,,126,,
51,facebook,2019-10-08T16:06:31.881+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,3,-1,-1,0,91,-1,172.217.18.4,,95,,
52,facebook,2019-10-08T16:06:31.978+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=i9x7etdrppj1,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1125,,,-1,3,-1,-1,0,96,-1,172.217.18.4,,100,value,
53,facebook,2019-10-08T16:06:32.032+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,148,0,0,0,0,98,108,172.217.18.4,,248,value,
54,facebook,2019-10-08T16:06:32.096+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,44,-1,-1,0,87,-1,172.217.22.35,,133,,
55,facebook,2019-10-08T16:06:32.147+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,45,-1,-1,0,97,-1,172.217.22.35,,143,,
56,facebook,2019-10-08T16:06:32.274+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=38axn4%3Adoo9lj%3A88iorz&__hsi=6745422328181172616-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570541022,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,0,0,-1,31.13.92.36,,0,value,No response received
