,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
41,facebook,2019-09-28T18:59:28.334+03:00,GET,https://cx.atdmt.com/?f=AYxX-ODVoY9XUzRakO_MevydFEN_dgMRTnNuHa6AB_IxGkyygHnr5J0GcuTPdJmDMQpM_9NNSXkMddAY_8PLxVfZ&c=1695831422&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,6013,0,0,21,5922,149,1,157.240.1.6,,6185,value,
42,facebook,2019-09-28T18:59:29.525+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,3440,2,0,0,3359,462,0,172.217.22.36,,3905,,
43,facebook,2019-09-28T18:59:30.148+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,608,-1,-1,-1,99,0,157.240.1.23,,708,value,
44,facebook,2019-09-28T18:59:30.148+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,14,-1,-1,-1,107,1,157.240.1.23,,122,value,
45,facebook,2019-09-28T18:59:30.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,6363,2,0,0,3264,112,0,157.240.1.23,,6478,value,
46,facebook,2019-09-28T18:59:30.149+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,11,-1,-1,-1,114,0,157.240.1.23,,126,value,
47,facebook,2019-09-28T18:59:30.324+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2454,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,-1,-1,113,1,157.240.1.35,,115,,
48,facebook,2019-09-28T18:59:31.420+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28967,,,-1,109,-1,-1,-1,94,0,157.240.1.23,,204,value,
49,facebook,2019-09-28T18:59:31.470+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,10872,0,0,1,10762,151,0,157.240.1.35,,11026,,
50,facebook,2019-09-28T18:59:33.569+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,2107,599,0,0,2029,114,0,172.217.21.195,,2823,,
51,facebook,2019-09-28T18:59:34.322+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=wu32b8w8vcc5,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9604,,,-1,21,-1,-1,-1,96,0,172.217.22.36,,118,value,
52,facebook,2019-09-28T18:59:34.435+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,163,-1,-1,-1,73,0,172.217.21.195,,237,,
53,facebook,2019-09-28T18:59:34.614+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,175,479,0,0,89,81,0,172.217.21.195,,737,,
54,facebook,2019-09-28T18:59:35.210+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,16,-1,-1,-1,80,1,172.217.22.36,,98,,
55,facebook,2019-09-28T18:59:35.310+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,1,-1,-1,-1,77,0,172.217.22.36,,80,value,
56,facebook,2019-09-28T18:59:35.381+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=xeu94uely58u,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,167,2,0,0,88,76,1,172.217.22.36,,247,value,
57,facebook,2019-09-28T18:59:35.626+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,122,-1,-1,-1,69,0,172.217.21.195,,192,,
58,facebook,2019-09-28T18:59:35.635+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,107,-1,-1,-1,72,0,172.217.21.195,,180,,
59,facebook,2019-09-28T18:59:35.890+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=5fu50i%3A74p1ds%3Anxh7vx&__hsi=6741756000902831438-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569687389,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,-1,0,0,157.240.1.35,,0,value,No response received
