,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-12T16:25:39.140+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1756,0,0,0,0,1725,121,31.13.92.36,,1880,,
39,facebook,2019-10-12T16:25:39.688+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44516,,,1016,0,176,19,0,990,255,31.13.92.36,,1468,value,
40,facebook,2019-10-12T16:25:39.961+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,-1,-1,82,-1,1,-1,117,31.13.92.14,,201,value,
41,facebook,2019-10-12T16:25:39.961+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,-1,-1,14,-1,1,-1,98,31.13.92.14,,113,value,
42,facebook,2019-10-12T16:25:39.963+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,-1,64,-1,0,-1,110,31.13.92.14,,175,value,
43,facebook,2019-10-12T16:25:40.058+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,0,-1,0,-1,109,31.13.92.14,,110,value,
44,facebook,2019-10-12T16:25:40.127+03:00,GET,https://cx.atdmt.com/?f=AYxY4PiAjHIQsR-USY-O919SUOfNH5iRJ1wJyUafZqputX9-5Armve6CvUUHoL4gsj_sDU8NqcOe9b5kHmDSTEP7&c=1554090147&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,1440,0,0,34,0,1411,131,31.13.92.2,,1608,value,
45,facebook,2019-10-12T16:25:44.253+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,4294,0,4,0,0,4259,113,172.217.18.4,,4414,,
46,facebook,2019-10-12T16:25:44.472+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,57,-1,0,-1,131,31.13.92.14,,189,value,
47,facebook,2019-10-12T16:25:44.473+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,1,-1,0,-1,114,31.13.92.14,,115,value,
