,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.blocked,timings.receive,timings.connect,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
33,facebook,2019-10-08T16:09:19.930+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,0,-1,93,-1,31.13.92.14,,94,,
34,facebook,2019-10-08T16:09:21.884+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43535,,,31,0,0,128,1987,202,1959,31.13.92.36,,2350,value,
35,facebook,2019-10-08T16:09:22.108+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,-1,0,-1,78,-1,103,-1,31.13.92.14,,182,value,
36,facebook,2019-10-08T16:09:22.108+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,-1,0,-1,64,-1,97,-1,31.13.92.14,,162,value,
37,facebook,2019-10-08T16:09:22.108+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,-1,0,-1,104,-1,31.13.92.14,,105,value,
38,facebook,2019-10-08T16:09:23.011+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,0,-1,40,-1,102,-1,31.13.92.14,,143,value,
39,facebook,2019-10-08T16:09:23.096+03:00,GET,https://cx.atdmt.com/?f=AYzIgx4XmLNsYimoclbhPGpJifhQNqQMNueif9omvPY6O--xv3vbxaF27cfNIDhbPv8cnFTnBDLGR9QGINi5RHiW&c=1379092834&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,75,0,0,0,3031,122,3000,31.13.92.2,,3230,value,
40,facebook,2019-10-08T16:09:23.315+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/owzxqW7V-9D.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10448,,,-1,0,-1,6,-1,102,-1,31.13.92.14,,108,value,
41,facebook,2019-10-08T16:09:23.371+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,0,0,4528,128,4504,31.13.92.36,,4658,,
42,facebook,2019-10-08T16:09:24.697+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,0,1,2586,101,2553,172.217.18.4,,2690,,
43,facebook,2019-10-08T16:09:24.911+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,0,-1,1,-1,94,-1,31.13.92.14,,96,value,
