,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
45,facebook,2019-10-12T16:10:45.989+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,129,0,1154,0,0,1186,0,172.217.18.4,,1318,,
46,facebook,2019-10-12T16:10:46.221+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,106,0,-1,-1,85,-1,-1,31.13.92.14,,192,value,
47,facebook,2019-10-12T16:10:46.225+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,136,0,-1,-1,8,-1,-1,31.13.92.14,,145,value,
48,facebook,2019-10-12T16:10:46.225+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,110,0,-1,-1,3,-1,-1,31.13.92.14,,114,value,
49,facebook,2019-10-12T16:10:46.226+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,123,0,129,0,125,162,0,31.13.92.14,,412,value,
50,facebook,2019-10-12T16:10:46.227+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,136,0,-1,-1,135,-1,-1,31.13.92.14,,273,value,
51,facebook,2019-10-12T16:10:46.343+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,108,0,-1,-1,2,-1,-1,31.13.92.14,,111,value,
52,facebook,2019-10-12T16:10:47.288+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,107,0,1130,0,150,1161,0,172.217.22.35,,1420,,
53,facebook,2019-10-12T16:10:47.588+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=5kgz3q24m0av,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9496,,,121,0,-1,-1,22,-1,-1,172.217.18.4,,143,value,
54,facebook,2019-10-12T16:10:47.729+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,98,0,-1,-1,50,-1,-1,172.217.22.35,,149,,
55,facebook,2019-10-12T16:10:47.882+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,118,0,-1,-1,34,-1,-1,172.217.22.35,,153,,
56,facebook,2019-10-12T16:10:48.069+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,94,0,-1,-1,5,-1,-1,172.217.18.4,,100,,
57,facebook,2019-10-12T16:10:48.172+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,90,0,-1,-1,0,-1,-1,172.217.18.4,,92,value,
58,facebook,2019-10-12T16:10:48.221+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=jces8wvjob4,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,108,0,111,0,2,148,0,172.217.18.4,,260,value,
59,facebook,2019-10-12T16:10:48.284+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,91,0,-1,-1,44,-1,-1,172.217.22.35,,137,,
60,facebook,2019-10-12T16:10:48.297+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3074,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,163,1,-1,-1,0,-1,-1,157.240.1.35,,165,,
