,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-08T18:14:39.589+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,1,-1,94,-1,0,-1,-1,31.13.92.14,,97,value,
39,facebook,2019-10-08T18:14:39.590+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,1,-1,124,-1,88,-1,-1,31.13.92.14,,214,value,
40,facebook,2019-10-08T18:14:39.591+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,-1,133,-1,77,-1,-1,31.13.92.14,,211,value,
41,facebook,2019-10-08T18:14:39.591+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,0,-1,130,-1,19,-1,-1,31.13.92.14,,150,value,
42,facebook,2019-10-08T18:14:40.580+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,97,925,1,0,989,172.217.18.4,,1089,,
43,facebook,2019-10-08T18:14:40.791+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,0,-1,97,-1,5,-1,-1,31.13.92.14,,103,value,
44,facebook,2019-10-08T18:14:40.792+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,0,-1,99,-1,0,-1,-1,31.13.92.14,,100,value,
45,facebook,2019-10-08T18:14:40.795+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,1,-1,95,-1,22,-1,-1,31.13.92.14,,119,value,
46,facebook,2019-10-08T18:14:40.795+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,1,-1,109,-1,102,-1,-1,31.13.92.14,,213,value,
47,facebook,2019-10-08T18:14:40.795+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,1,0,100,132,164,0,157,31.13.92.14,,424,value,
48,facebook,2019-10-08T18:14:40.795+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,0,0,115,133,197,0,157,31.13.92.14,,472,value,
49,facebook,2019-10-08T18:14:40.900+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,0,-1,96,-1,14,-1,-1,31.13.92.14,,110,value,
50,facebook,2019-10-08T18:14:41.979+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,1,96,1247,133,0,1281,172.217.22.35,,1513,,
51,facebook,2019-10-08T18:14:42.232+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=6u79gnk3qyo,HTTP/1.1,721,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,10173,,,0,-1,118,-1,21,-1,-1,172.217.18.4,,140,value,
52,facebook,2019-10-08T18:14:42.400+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,-1,100,-1,52,-1,-1,172.217.22.35,,153,,
53,facebook,2019-10-08T18:14:42.555+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,0,89,114,144,0,152,172.217.22.35,,387,,
54,facebook,2019-10-08T18:14:42.819+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,0,-1,95,-1,4,-1,-1,172.217.18.4,,101,,
55,facebook,2019-10-08T18:14:42.923+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,-1,100,-1,0,-1,-1,172.217.18.4,,102,value,
56,facebook,2019-10-08T18:14:42.976+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=e6gtm1jfxh3c,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,0,0,99,109,1,0,152,172.217.18.4,,254,value,
57,facebook,2019-10-08T18:14:43.044+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,0,-1,94,-1,0,-1,-1,172.217.22.35,,95,,
58,facebook,2019-10-08T18:14:43.127+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=4ri2fi%3A380m40%3Azmsf3l&__hsi=6745455369600958605-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570548715,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,0,-1,-1,31.13.92.36,,0,value,No response received
