,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-11T18:59:09.468+03:00,GET,https://cx.atdmt.com/?f=AYwsSTCzkqlALo5_D5SkLjBCT9pvrie5nHF41E2uab5F10j_Y3G3-BMrcSIRBW3LgXV4dLbiyuVlfJMqnhmN8sTe&c=2118721419&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,0,3196,144,3175,0,27,31.13.92.2,,3370,value,
39,facebook,2019-10-11T18:59:14.443+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3091,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,155,-1,0,-1,31.13.92.36,,157,,
40,facebook,2019-10-11T18:59:14.491+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,15,6241,93,6194,0,0,172.217.18.4,,6350,,
41,facebook,2019-10-11T18:59:14.718+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,158,-1,127,-1,0,-1,31.13.92.14,,286,value,
42,facebook,2019-10-11T18:59:14.719+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,-1,11,-1,119,-1,0,-1,31.13.92.14,,131,value,
43,facebook,2019-10-11T18:59:14.719+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,-1,1,-1,111,-1,0,-1,31.13.92.14,,113,value,
44,facebook,2019-10-11T18:59:14.719+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,29,-1,111,-1,0,-1,31.13.92.14,,140,value,
45,facebook,2019-10-11T18:59:19.383+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,138,4751,104,4721,0,1,172.217.22.67,,4996,,
46,facebook,2019-10-11T18:59:19.652+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=xlphdum64a7x,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9901,,,-1,38,-1,117,-1,0,-1,172.217.18.4,,157,value,
47,facebook,2019-10-11T18:59:19.805+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,121,-1,95,-1,0,-1,172.217.22.67,,217,,
48,facebook,2019-10-11T18:59:20.026+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,148,215,94,182,2,0,172.217.22.67,,460,,
49,facebook,2019-10-11T18:59:20.327+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,6,-1,97,-1,1,-1,172.217.18.4,,104,,
50,facebook,2019-10-11T18:59:20.434+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=cspmo0y38o7i,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,0,-1,94,-1,0,-1,172.217.18.4,,96,value,
51,facebook,2019-10-11T18:59:20.481+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,1,147,105,110,0,0,172.217.18.4,,254,value,
52,facebook,2019-10-11T18:59:20.629+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001284080&__s=jud4po%3Ajrg4os%3Aw9j1rd&__hsi=6746580105280820541-0&__spin_r=1001284080&__spin_b=trunk&__spin_t=1570810588,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,0,-1,31.13.92.36,,0,value,No response received
53,facebook,2019-10-11T18:59:20.639+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,0,-1,172.217.22.67,,0,,No response received
