,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
44,facebook,2019-10-11T18:58:09.398+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,99,1,3144,3173,0,146,172.217.22.67,,3420,,
45,facebook,2019-10-11T18:58:09.679+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=vg5yyj3wacz1,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9448,,,0,130,-1,-1,-1,-1,7,172.217.18.4,,139,value,
46,facebook,2019-10-11T18:58:09.825+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,0,90,-1,-1,-1,-1,62,172.217.22.67,,153,,
47,facebook,2019-10-11T18:58:09.971+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,1,90,0,106,143,0,155,172.217.22.67,,390,,
48,facebook,2019-10-11T18:58:10.044+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4890,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,1,213,-1,-1,-1,-1,0,31.13.92.36,,215,,
49,facebook,2019-10-11T18:58:10.243+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,0,105,-1,-1,-1,-1,5,172.217.18.4,,111,,
50,facebook,2019-10-11T18:58:10.356+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=7pc0y5dgmh0l,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,107,-1,-1,-1,-1,0,172.217.18.4,,108,value,
51,facebook,2019-10-11T18:58:10.405+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,100,0,114,160,0,1,172.217.18.4,,263,value,
52,facebook,2019-10-11T18:58:10.530+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001284080&__s=4mzi5u%3Ajyqbua%3Aulip7u&__hsi=6746579812220638821-0&__spin_r=1001284080&__spin_b=trunk&__spin_t=1570810520,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,31.13.92.36,,0,value,No response received
53,facebook,2019-10-11T18:58:10.545+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,172.217.22.67,,0,,No response received
