,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
39,,2019-10-12T16:06:47.951+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CUAoD99OhXbW2BMGA-gbrp5qQAprR97RWuf-khtMHFBABIO6puRJg-br0g5wQoAH_24rIA8gBAagDAaoEsQFP0NV7NZn1Noesrn16-JXlHb6DgAY1WMWhS2qqfr2EOoZt76DyV5TMfEEvMx-HmgkBDiWEP6cO3eQeNlOct1Z-uQRXHGN4eTYtfaDkIpXns7LttIwlYOgz5MQJot1DFAcTXCtqeYUe9z3sx_EXrNcnyjGIq6VhzajYHnRY0BAf5q-bt69dyWN-RyJbxXWWWuKQ768jeFBwPl2r0mKBVXlDkHSGRg4pz3-ZBX5GFfC1X7bABIrc3-nJAZIFBAgEGAGSBQQIBRgEgAeG85wJqAeOzhuoB9XJG6gHwdMbqAeF1BuoB4HUG6gHgtQbqAeG1BuoB4TUG6gHk9gbqAfg0xuoB7oGqAfZyxuoB8_MG6gHpr4b2AcB8gcEEJDUCNIIBwiAYRABGB6ACgHYEww&sigh=Hta3P1wqee0&template_id=5001&tpd=AGWhJmvrgbn1K3tcY-GKdQN43EbEtkt05R9bE6KaDTjPlFue0A,HTTP/1.1,1825,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,788,0,,,1,96,-1,-1,-1,-1,0,172.217.21.194,,98,value,
40,,2019-10-12T16:06:47.963+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,582,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,0,90,0,1445,1476,0,54,172.217.16.131,,1622,,
41,,2019-10-12T16:06:47.973+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15552,,,0,90,38,3285,3315,0,28,172.217.16.131,,3473,,
42,,2019-10-12T16:06:47.979+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmYUtfBBc4.woff2,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15340,,,0,88,0,2713,2743,0,55,172.217.16.131,,2888,,
43,,2019-10-12T16:06:48.052+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1412,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,609,145,,,0,83,-1,-1,-1,-1,0,172.217.21.194,,84,value,
44,,2019-10-12T16:06:48.085+03:00,GET,https://fonts.gstatic.com/s/roboto/v20/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15872,,,0,83,0,111,145,0,49,172.217.16.131,,279,,
45,,2019-10-12T16:06:48.094+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,522,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,0,82,-1,-1,-1,-1,18,172.217.16.131,,102,,
46,,2019-10-12T16:06:48.112+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15552,,,0,87,-1,-1,-1,-1,17,172.217.16.131,,105,,
47,,2019-10-12T16:06:48.146+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,730,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,0,94,-1,-1,-1,-1,0,172.217.18.4,,95,,
48,,2019-10-12T16:06:48.244+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,594,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,0,101,-1,-1,-1,-1,0,172.217.21.194,,103,,
49,,2019-10-12T16:06:48.386+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,378,0,,0,,unknown,0,,,,-1,-1,,,1,0,-1,-1,-1,-1,0,172.217.22.2,,1,,No response received
