,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
44,facebook,2019-09-28T19:35:23.844+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,0,0,95,1875,1,0,1942,172.217.16.196,,2040,,
45,facebook,2019-09-28T19:35:24.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,0,88,-1,315,-1,-1,157.240.1.23,,404,value,
46,facebook,2019-09-28T19:35:24.069+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,0,95,-1,144,-1,-1,157.240.1.23,,240,value,
47,facebook,2019-09-28T19:35:24.071+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,0,97,-1,20,-1,-1,157.240.1.23,,118,value,
48,facebook,2019-09-28T19:35:24.071+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,0,100,-1,2,-1,-1,157.240.1.23,,103,value,
49,facebook,2019-09-28T19:35:28.358+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2896,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,173,-1,0,-1,-1,157.240.1.35,,174,,
50,facebook,2019-09-28T19:35:28.404+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,14,0,65,4367,284,0,4432,172.217.21.195,,4797,,
51,facebook,2019-09-28T19:35:28.795+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=b137ehelefza,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,10614,,,-1,1,94,-1,27,-1,-1,172.217.16.196,,122,value,
52,facebook,2019-09-28T19:35:28.933+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,1,65,-1,156,-1,-1,172.217.21.195,,223,,
53,facebook,2019-09-28T19:35:29.154+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,0,1,67,149,273,0,216,172.217.21.195,,558,,
54,facebook,2019-09-28T19:35:29.532+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,0,65,-1,9,-1,-1,172.217.16.196,,75,,
55,facebook,2019-09-28T19:35:29.609+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,0,76,-1,1,-1,-1,172.217.16.196,,78,value,
56,facebook,2019-09-28T19:35:29.678+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=9i13nkfluyv,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,0,0,80,74,4,0,141,172.217.16.196,,228,value,
57,facebook,2019-09-28T19:35:29.878+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,0,64,-1,73,-1,-1,172.217.21.195,,138,,
58,facebook,2019-09-28T19:35:29.968+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=ald4df%3Aqz1az5%3A2evf9i&__hsi=6741765274868384672-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569689548,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,0,-1,-1,157.240.1.35,,0,value,No response received
