,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,response._error
56,facebook,2019-09-28T19:11:21.348+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=2nnlxpsgw1b9,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9544,,,-1,-1,145,1,-1,469,-1,216.58.205.228,,615,
57,facebook,2019-09-28T19:11:21.807+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,590,2880,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,2,-1,223,-1,157.240.1.35,,226,
58,facebook,2019-09-28T19:11:21.975+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,-1,547,2,-1,123,-1,172.217.21.195,,674,
59,facebook,2019-09-28T19:11:22.180+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,195,0,378,0,67,66,0,172.217.21.195,,641,
60,facebook,2019-09-28T19:11:22.682+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,-1,17,0,-1,62,-1,216.58.205.228,,80,
61,facebook,2019-09-28T19:11:22.764+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,-1,0,0,-1,84,-1,216.58.205.228,,85,
62,facebook,2019-09-28T19:11:22.827+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=tli277f7w9h2,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,141,0,2,0,75,76,0,216.58.205.228,,221,
63,facebook,2019-09-28T19:11:23.026+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,-1,483,0,-1,70,-1,172.217.21.195,,554,
64,facebook,2019-09-28T19:11:23.037+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,-1,202,0,-1,69,-1,172.217.21.195,,272,
65,facebook,2019-09-28T19:11:23.650+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=j94g3x%3A09dh86%3Avnyhtf&__hsi=6741759020958835943-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569688092,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,0,-1,157.240.1.35,,0,No response received
